847	陛		［小］ヘイ	［外］きざはし	10	阝	① きざはし。階段。宮殿の階段。 ② 天子。また、天子に関する事柄についていうことば。	5	［小］ 陛下 ・ 陛衛 ・ 両陛下 ・ 皇后陛下 ・ 女王陛下 ・ 国王陛下 ［外］ 陛	［小］ 陛[へい]下[か] ・ 陛[へい]衛[えい] ・ 両[りょう]陛[へい]下[か] ・ 皇[こう]后[ごう]陛[へい]下[か] ・ 女[じょ]王[おう]陛[へい]下[か] ・ 国[こく]王[おう]陛[へい]下[か] ［外］ 陛[きざはし]	https://kanji.jitenon.jp/kanjib/975.html		10_strokes level_5 on_yomi_ヘイ radical_阝
848	届	屆	［外］カイ	［小］とど（く）、とど（ける）	8	尸	いたる。とどく。ある決められた時刻や時期、場所にいたる。 【日本】 ① とどく。送ったものが到着する。 ② とどける。申し出る。 ③ とどけ。申し出の文書。	5	［小］ 届く ・ 届ける ・ 無届け ・ 届け出 ・ 付け届け ・ 見届ける ・ 届け出る ・ 送り届ける ・ 不行き届き	［小］ 届[とど]く ・ 届[とど]ける ・ 無[む]届[とど]け ・ 届[とど]け出[で] ・ 付[つ]け届[とど]け ・ 見[み]届[とど]ける ・ 届[とど]け出[で]る ・ 送[おく]り届[とど]ける ・ 不[ふ]行[ゆ]き届[とど]き	https://kanji.jitenon.jp/kanjib/957.html		8_strokes level_5 on_yomi_カイ radical_尸
849	担	擔	［小］タン ［外］ケツ	［高］かつ（ぐ）、にな（う）	8	扌	【A】タン・かつ（ぐ）・にな（う） ① になう。かつぐ。物を肩にかつぐ。 ② になう。引き受ける。 【B】タン・かつ（ぐ）・にな（う） ① 荷物。かつぐ荷物。 ② 重さの単位。一担は百斤。 ③ 容積の単位。一担は一石。 【C】ケツ あげる。かかげる。高くあげる。	5	［小］ 担当 ・ 分担 ・ 負担 ・ 担保 ［高］ 担ぐ ・ 担う ・ 担ぎ ・ 担い手	［小］ 担[たん]当[とう] ・ 分[ぶん]担[たん] ・ 負[ふ]担[たん] ・ 担[たん]保[ぽ] ［高］ 担[かつ]ぐ ・ 担[にな]う ・ 担[かつ]ぎ ・ 担[にな]い手[て]	https://kanji.jitenon.jp/kanjib/940.html		8_strokes level_5 on_yomi_ケツ on_yomi_タン radical_扌
850	舌		［中］ゼツ ［外］セツ	［小］した ［外］ことば	6	舌	① した。口内にあって、味覚や発声などをたすける器官。 ② したのような形をしたもの。 ③ ことば。ことば遣い。ものをいうこと。	5	［小］ 舌 ・ 二枚舌 ・ 舌打ち ［中］ 毒舌 ・ 弁舌 ・ 筆舌 ・ 舌戦 ［外］ 饒舌	［小］ 舌[した] ・ 二[に]枚[まい]舌[じた] ・ 舌[した]打[う]ち ［中］ 毒[どく]舌[ぜつ] ・ 弁[べん]舌[ぜつ] ・ 筆[ひつ]舌[ぜつ] ・ 舌[ぜっ]戦[せん] ［外］ 饒[じょう]舌[ぜつ]	https://kanji.jitenon.jp/kanjib/755.html		6_strokes level_5 on_yomi_セツ on_yomi_ゼツ radical_舌
851	縮		［小］シュク	［小］ちぢ（まる）、ちぢ（む）、ちぢ（める）、ちぢ（らす）、ちぢ（れる）	17	糸	① ちぢむ。ちぢまる。ちぢれる。ひきしまる。小さくなる。 ② ちぢめる。ちぢらす。小さくする。 ③ ちぢこまる。かかしこまる。 ④ 退く。後退する。 ⑤ おさめる。 ⑥ 正しい。なおし。まっすぐ。 【日本】 ちぢみ。ちぢみ織り。	5	［小］ 縮む ・ 縮まる ・ 縮める ・ 縮らす ・ 縮れる ・ 縮小 ・ 短縮 ・ 軍縮 ・ 縮み ・ 圧縮 ［中］ 濃縮 ・ 濃縮果汁	［小］ 縮[ちぢ]む ・ 縮[ちぢ]まる ・ 縮[ちぢ]める ・ 縮[ちぢ]らす ・ 縮[ちぢ]れる ・ 縮[しゅく]小[しょう] ・ 短[たん]縮[しゅく] ・ 軍[ぐん]縮[しゅく] ・ 縮[ちぢ]み ・ 圧[あっ]縮[しゅく] ［中］ 濃[のう]縮[しゅく] ・ 濃[のう]縮[じゅく]果[か]汁[じゅう]	https://kanji.jitenon.jp/kanjib/902.html		17_strokes level_5 on_yomi_シュク radical_糸
852	冊	册	［小］サツ ［高］サク	［外］た（てる）、ふみ	5	冂	① ふみ。書物。文書。 ② 書物を数えることば。 ③ 天子が爵位や封禄を授けるときの任命書（命令書）。	5	［小］ 冊（１） ・ 冊子 ・ 別冊 ・ 小冊子 ［高］ 短冊 ・ 冊立 ［外］ 冊てる ・ 冊（２）	［小］ 冊[さつ]（１） ・ 冊[さっ]子[し] ・ 別[べっ]冊[さつ] ・ 小[しょう]冊[さっ]子[し] ［高］ 短[たん]冊[ざく] ・ 冊[さく]立[りつ] ［外］ 冊[た]てる ・ 冊[ふみ]（２）	https://kanji.jitenon.jp/kanjib/882.html		5_strokes level_5 on_yomi_サク on_yomi_サツ radical_冂
853	源		［小］ゲン	［小］みなもと	13	氵	① みなもと。水の流れ出るもと。物事のおおもと。始まり。 ② たずねる。さぐる。探し求める。 【日本】 みなもと。源氏（げんじ）のこと。	5	［小］ 源 ・ 財源 ・ 電源 ・ 起源 ・ 資源 ・ 語源 ［中］ 震源 ［高］ 源清ければ流れ清し	［小］ 源[みなもと] ・ 財[ざい]源[げん] ・ 電[でん]源[げん] ・ 起[き]源[げん] ・ 資[し]源[げん] ・ 語[ご]源[げん] ［中］ 震[しん]源[げん] ［高］ 源[みなもと]清[きよ]ければ流[なが]れ清[きよ]し	https://kanji.jitenon.jp/kanjib/863.html		13_strokes level_5 on_yomi_ゲン radical_氵
854	机		［中］キ	［小］つくえ	6	木	つくえ。台。＝几	5	［小］ 机 ・ 長机 ・ 小机 ［中］ 机上 ［高］ 床机 ・ 清窓浄机 ・ 机上の空論 ［外］ 机上之論	［小］ 机[つくえ] ・ 長[なが]机[づくえ] ・ 小[こ]机[づくえ] ［中］ 机[き]上[じょう] ［高］ 床[しょう]机[ぎ] ・ 清[せい]窓[そう]浄[じょう]机[き] ・ 机[き]上[じょう]の空[くう]論[ろん] ［外］ 机[き]上[じょう]之[の]論[ろん]	https://kanji.jitenon.jp/kanjib/844.html		6_strokes level_5 on_yomi_キ radical_木
855	異		［小］イ	［小］こと ［外］あや（しい）	11	田	① ことなる。ことにする。同じではない。 ② 普通でない。普通とは違う。めずらしい。あやしい。ふしぎである。 ③ ことにする。別々にする。区別する。	5	［小］ 特異 ・ 異常 ・ 異性 ・ 異動 ・ 異なる ・ によって異なる ［中］ 異端 ［外］ 異しい	［小］ 特[とく]異[い] ・ 異[い]常[じょう] ・ 異[い]性[せい] ・ 異[い]動[どう] ・ 異[こと]なる ・ によって異[こと]なる ［中］ 異[い]端[たん] ［外］ 異[あや]しい	https://kanji.jitenon.jp/kanjib/824.html		11_strokes level_5 on_yomi_イ radical_田
856	翌		［小］ヨク		11	羽	① あけ。あくる。あくるひ。明日。 ② よく。次の。	5	［小］ 翌日 ・ 翌々 ・ 翌晩 ・ 翌春 ・ 翌月 ・ 翌週 ・ 翌年 ・ 翌朝	［小］ 翌[よく]日[じつ] ・ 翌[よく]々[よく] ・ 翌[よく]晩[ばん] ・ 翌[よく]春[しゅん] ・ 翌[よく]月[げつ] ・ 翌[よく]週[しゅう] ・ 翌[よく]年[ねん] ・ 翌[よく]朝[あさ]	https://kanji.jitenon.jp/kanjib/994.html		11_strokes level_5 on_yomi_ヨク radical_羽
857	閉		［小］ヘイ	［小］し（まる）、し（める）、と（じる） ［中］と（ざす） ［外］た（てる）	11	門	① とじる。とざす。しめる。しまる。 ② とじる。やめる。終わりにする。 ③ とじこめる。また、とじこもる。 ④ かぎ。門のかんぬきを差しこむ穴。	5	［小］ 閉じる ・ 閉まる ・ 閉める ・ 密閉 ・ 閉会 ・ 閉じこもる ［中］ 閉ざす ・ 閉鎖 ［外］ 閉てる	［小］ 閉[と]じる ・ 閉[し]まる ・ 閉[し]める ・ 密[みっ]閉[ぺい] ・ 閉[へい]会[かい] ・ 閉[と]じこもる ［中］ 閉[と]ざす ・ 閉[へい]鎖[さ] ［外］ 閉[た]てる	https://kanji.jitenon.jp/kanjib/977.html		11_strokes level_5 on_yomi_ヘイ radical_門
858	難	難	［小］ナン ［外］ダ、ダン、ナ	［小］むずか（しい） ［高］かた（い） ［外］にく（い）、むつか（しい）	18	隹	【A】ナン・ダン むずかしい。かたい。やりづらい。 【B】ナン・ダン ① わざわい。うれい。苦しみ。 ② いくさ。争い。戦乱。 ③ なじる。責める。とがめる。 【C】ダ・ナ ① 葉が盛んに茂るさま。 ② おにやらい。疫病神を追い払う行事。＝儺	5	［小］ 難しい（１） ・ 難民 ・ 困難 ・ 気難しい ［高］ 難い（１） ・ 得難い ・ 人生行路難し ［外］ 難い（２） ・ 難しい（２）	［小］ 難[むずか]しい（１） ・ 難[なん]民[みん] ・ 困[こん]難[なん] ・ 気[き]難[むずか]しい ［高］ 難[かた]い（１） ・ 得[え]難[がた]い ・ 人[じん]生[せい]行[こう]路[ろ]難[かた]し ［外］ 難[にく]い（２） ・ 難[むつか]しい（２）	https://kanji.jitenon.jp/kanjib/958.html		18_strokes level_5 on_yomi_ダ on_yomi_ダン on_yomi_ナ on_yomi_ナン radical_隹
859	探		［小］タン	［小］さが（す） ［中］さぐ（る）	11	扌	① さぐる。さがす。もとめる。さがしもとめる。 ② たずねる。さぐりたずねる。	5	［小］ 探す ・ 探究 ・ 探検 ・ 探査 ・ 探し回る ［中］ 探る ・ 探偵 ・ 手探り	［小］ 探[さが]す ・ 探[たん]究[きゅう] ・ 探[たん]検[けん] ・ 探[たん]査[さ] ・ 探[さが]し回[まわ]る ［中］ 探[さぐ]る ・ 探[たん]偵[てい] ・ 手[て]探[さぐ]り	https://kanji.jitenon.jp/kanjib/939.html		11_strokes level_5 on_yomi_タン radical_扌
860	宣		［小］セン	［外］のたま（う）、の（べる）	9	宀	① のべる。考えを広く知らせる。行き渡らせる。 ② のたまう。みことのり。天子の言葉。 ③ あまねし。広く行き渡る。明らか。	5	［小］ 宣告 ・ 宣伝 ・ 宣言 ・ 院宣 ［外］ 宣う ・ 宣べる ・ 宣べ伝える	［小］ 宣[せん]告[こく] ・ 宣[せん]伝[でん] ・ 宣[せん]言[げん] ・ 院[いん]宣[ぜん] ［外］ 宣[のたま]う ・ 宣[の]べる ・ 宣[の]べ伝[つた]える	https://kanji.jitenon.jp/kanjib/923.html		9_strokes level_5 on_yomi_セン radical_宀
